id,created_at,text
456861382961790976,2014-04-17 18:26:56,10 school days left of high school for this girl🙊🙌✌️ http://t.co/bjUJ7BJuJJ
456854626768527360,2014-04-17 18:00:05,Neon Trees
456853815351070720,2014-04-17 17:56:52,RT @SuburbanFamiIy: i have very high expectations for summer 2014
456850824577437696,2014-04-17 17:44:59,RT @a_Maris_: Sucks when the one thing you were relying on falls through
456850775835414528,2014-04-17 17:44:47,I take pride in my teeth
456850489142177792,2014-04-17 17:43:39,RT @andrewmarlows: A road trip with a bunch of friends would be so fun
456803306481123328,2014-04-17 14:36:09,"“@ImTehJokur: 💞     💞    🌸🌸    💕💕💕 
💞     💞 🌸       🌸💕 
💞💞💞 🌸       🌸💕💕💕
💞     💞 🌸      🌸 💕 
💞     💞    🌸🌸    💕💕💕” @Maddie_Mae1"
456802951105744897,2014-04-17 14:34:45,I love going to the dentist! 😁✨💗
456492975707549697,2014-04-16 18:03:01,Do you think if I sent Zac Efron a graduation invitation that he would come?
456491270295539712,2014-04-16 17:56:14,The Other Women looks hilarious!!
456470462835720192,2014-04-16 16:33:33,RT @laina622: Do you think Justin Bieber knows that sunglasses are for when the sun is out?
456454231893884928,2014-04-16 15:29:04,I love being tan :)
456284247515340802,2014-04-16 04:13:36,@Maddie_Mae1 no...not the money makers😳😁
456283135924137986,2014-04-16 04:09:11,RT @_LadyBoners: Too much perfection in one picture http://t.co/tvuYYd7lS2
456282690166091776,2014-04-16 04:07:25,@Maddie_Mae1 im gonna pop your balloons
456282353124380673,2014-04-16 04:06:05,"RT @TheFunnyTeens: We finally know who ""A"" is http://t.co/0lYB5tA88M"
456282238800244736,2014-04-16 04:05:37,RT @andrewmarlows: Just wanna cuddle with you rn
456282130377494528,2014-04-16 04:05:11,"RT @CoIlegefessions: ""I haven't had physical contact with anyone of the opposite sex in 2 months. Maybe I should become a nun."" - Texas Tech"
456280570016702465,2014-04-16 03:58:59,RT @GenuineGent_x: IT’S SO HARD WHEN YOU’RE IN A CUDDLY MOOD AND DON’T HAVE ANYONE TO CUDDLE WITH THIS IS AN OUTRAGE
456197875790143488,2014-04-15 22:30:24,RT @OhHeWantsTheP: me too girl... me too http://t.co/ehweWddDDS
456197790301831168,2014-04-15 22:30:03,@rowley_tatym 😘😘
456197605861498880,2014-04-15 22:29:19,@rowley_tatym mission failed
456190964697018370,2014-04-15 22:02:56,RT @tinatbh: what are the symptoms of being fergalicious
456190529428934656,2014-04-15 22:01:12,Mah legs are show shmoove!!!! Srsly cum feel dem! ✨
