id,created_at,text
456785261306056704,2014-04-17 13:24:27,@aubrey_raelyn @jcrewsin aww I love you &amp; imy already! 😭
456582105854533633,2014-04-16 23:57:11,@Morgss1127 ur gonna die
456578893206409216,2014-04-16 23:44:25,why is @Morgss1127 faving all my tweets........ bye
456554031733686273,2014-04-16 22:05:38,“@WorldStarFunny: I'm fucking crying 😂😭💀 http://t.co/2vqRfZxbIS”
456547685562986498,2014-04-16 21:40:25,RT @Winn_Winn17: I'm so OCD about having clean hands
456547208905510912,2014-04-16 21:38:31,you're annoying so I unfollowed you
456541082797350913,2014-04-16 21:14:10,my all time favorites ❤️ @ famILY 💞💋😍😊😘 http://t.co/cmArZJqrt3
456429907644809216,2014-04-16 13:52:24,@KatalinaReyna I miss Cordero's class with you 😭😭
456422604979453954,2014-04-16 13:23:23,working out with mommy at YMCA this morning 😊💪💞
456247491885686786,2014-04-16 01:47:33,“@WeAreGirICodes: when will someone ever http://t.co/78yQImJJuy”
456247357688909824,2014-04-16 01:47:01,“@WSFunny: THE THIRST IS REAL💦 http://t.co/zqdc4hrf4s”😂😂😂😂😂😂😂
456247180953923584,2014-04-16 01:46:19,RT @WSFunny: I knew he reminded me of somebody! http://t.co/OkneWIdbj5
456242999094415360,2014-04-16 01:29:42,"if ur top 3 friends on snapchat are all girls, I'm cuttin u off"
456241583114190848,2014-04-16 01:24:04,RT @_kaitlynmiller: if anyone wants to take me with them to the Miley concert this wknd. HMU I'm free y'all
456240199388106752,2014-04-16 01:18:34,RT @Shaybrezzy16: Shout out to Aubrey she the BEST I love her @aubrey_raelyn  💜💛
456240035684421632,2014-04-16 01:17:55,@Rachel_Willyumz I vote yes
456189955568840704,2014-04-15 21:58:55,dtfsu
456189248425959425,2014-04-15 21:56:07,this 14 year old girl on my instagram already knows she's bisexual.... what has this world come to?
456187954499944449,2014-04-15 21:50:58,"RT @ThePartyCodes: Having sex doesn't make you a slut, and being a virgin doesn't make you a saint."
456187905040728064,2014-04-15 21:50:46,"RT @HUMOR18plus_: ""rt if u get it "" http://t.co/QjEVc1H058"
456187571920310272,2014-04-15 21:49:27,"arguin' won't fix the problem, talk with me, baby we can solve it."
456177991312101376,2014-04-15 21:11:23,@Tori__Wolfe I go to the beach in the summer.
456177834973995010,2014-04-15 21:10:45,@Tori__Wolfe the sand child. the sand.
456170092082913280,2014-04-15 20:39:59,huuuuge want for this summer 😍😍 http://t.co/D0LMgs8wfU
456154208316559360,2014-04-15 19:36:52,every1 says chipotle is good but I never know what to get there so I just skip it and go to CFA
456153342884868097,2014-04-15 19:33:26,@faith_krag4 already dead
456144419800887298,2014-04-15 18:57:59,@faith_krag4 ugh maybe later
456143806782787584,2014-04-15 18:55:32,@faith_krag4 😖 stop I'm gonna die
456142793400791040,2014-04-15 18:51:31,I'm really craving chick fil a 😭😭😭
456142302927282176,2014-04-15 18:49:34,RT @GirIFacts: when I see #oomf 😍 http://t.co/uI28eYBDKd
456091114232356864,2014-04-15 15:26:10,"RT @hangirl95: Thursday, where ya at!? @iansomerhalder #TheVampireDiaries 🔥😍 http://t.co/KPOmrgBu1d"
455926893779644416,2014-04-15 04:33:36,sometimes I don't realize what I'm missing and usually it's just the sound of my moms voice. it's the little things that make me happy
455926074783051776,2014-04-15 04:30:21,you're disgusting.
455925647068905472,2014-04-15 04:28:39,“@_LadyBoners: cant decide which one I love most http://t.co/C4oDA2Abie”Charlie Paul and Logan defffffinitely
455924972259901440,2014-04-15 04:25:58,don't.
455919704776138752,2014-04-15 04:05:02,@lyciafaith a fucking men.
455919254735695872,2014-04-15 04:03:15,"you, sir, are a very cocky motherfucker."
455918687045033984,2014-04-15 04:01:00,“@alainajackson17: I need to quit flirting with people out of my league”
455918399953326080,2014-04-15 03:59:51,RT @YepillPosts: best candy bar in existence 😍😋 http://t.co/E8DYkOTvHj
455908304573587456,2014-04-15 03:19:44,@Tori__Wolfe @TorrieJade @aubrey_raelyn 😡
455907743225098241,2014-04-15 03:17:31,@Tori__Wolfe @TorrieJade @aubrey_raelyn ok.
455907666767147008,2014-04-15 03:17:12,RT @courtmarieham: u did me sooooooo wrong and now u  wanna be my friend hahhahahahahha doesn't work like that
455902653269434368,2014-04-15 02:57:17,@K_Knight16 I see you get bored easily
455902541952585729,2014-04-15 02:56:50,RT @YepillPosts: this math book 😂 http://t.co/9HCnxWmbk0
455902490199097344,2014-04-15 02:56:38,RT @WomanCrushs: Selena 👌😃👌😃 http://t.co/vkuFOkG1NK
455902471786086400,2014-04-15 02:56:34,RT @em_hafff: I just want to cuddle and fall asleep
455901499315716096,2014-04-15 02:52:42,haven 😍❤️💋 morgsss1127 💞 @ stinker 💘 http://t.co/2AKgzDehWe
455889446958018560,2014-04-15 02:04:48,😂😂 dead https://t.co/jkhRyNLo0n
455887719005425666,2014-04-15 01:57:56,this looks like @colinkegel when he was a youngin https://t.co/9xP1mCUexv
455884462426181632,2014-04-15 01:45:00,RT @dreamcIoset: yes please 🙏 http://t.co/fcMMebXLJ9
455884441727299584,2014-04-15 01:44:55,RT @Taylor_DoubleU: Give me .2 seconds with @channingtatum and @ZacEfron plz
455884419283550208,2014-04-15 01:44:50,RT @NIXxa_Please: Can I please see neighbors like now
455884095953059840,2014-04-15 01:43:33,RT @KimReact: When someone you know acts different in front of other people http://t.co/gJVmFG6lpP
455844262610239489,2014-04-14 23:05:16,this is so true @ 🍷🍷🍷🍷😋 http://t.co/lpAOdfXQRl
455804630250029056,2014-04-14 20:27:46,@thekidink1 ok
455804587531051009,2014-04-14 20:27:36,"Come to me, all you who are weary &amp; burdened, &amp; I will give you rest. ~Matt 11:28~❤️"
455791431387725824,2014-04-14 19:35:20,"@Joseph_Mooree @AustinJ901 Joseph, really."
455789444151668738,2014-04-14 19:27:26,you are a fucking douche 😂😂😂 #subtweet #getouttaherefaggot
455789163267522560,2014-04-14 19:26:19,guess who's thinking about going to Oregon for collegeeeee 😍😊✋
455788543861071872,2014-04-14 19:23:51,@AustinJ901 @Joseph_Mooree 😂😂😂😂
455788519248891904,2014-04-14 19:23:45,RT @AustinJ901: “@Joseph_Mooree: Ima smoke this drink then break you off” HOW TF YOU SMOKE A DRINK
455785659916353536,2014-04-14 19:12:24,If women flirted like men https://t.co/rxEUFfqhN8
455784509792092160,2014-04-14 19:07:49,“@WeLoveRobDyrdek: 😮 https://t.co/YvHqqSFhiN”noooo why did I just see this
455750909579231232,2014-04-14 16:54:18,hate when people say marijuana can kill you
