id,created_at,text
456749180426276865,2014-04-17 11:01:05,RT @HotSpotAvl: I was sweeping an just found a single dread.   ?
456520052829720576,2014-04-16 19:50:36,Next year can't come soon enough! 💙 #UNC18
456150630164213760,2014-04-15 19:22:39,It's snowing at my house ok 😃🔫
456140962247356416,2014-04-15 18:44:14,"It's in the 30's, windy, and I can see my breath. NOT ACCEPTABLE"
455809577804890112,2014-04-14 20:47:26,Does anybody know about the senior sports meeting tomorrow?
455710914948259840,2014-04-14 14:15:23,RT @Jonahhodes18: I feel like 💩💩💩💩💩
455485217948463104,2014-04-13 23:18:33,Why am I always sick
455398215668727809,2014-04-13 17:32:50,Marley is so sweet 😊❤️
455213338583379968,2014-04-13 05:18:12,RT @yagirlbecks: I wouldn't date me lol
454979896754728961,2014-04-12 13:50:35,It is an absolutely beautiful day☀️
454769399639986176,2014-04-11 23:54:08,#HUHUHU
454609930910457856,2014-04-11 13:20:28,@tayloranne29 😘
454427026280042496,2014-04-11 01:13:40,Told mom I was going to wear a sports bra to prom 👍
454258157389635584,2014-04-10 14:02:39,(Ms Schultz)
454257666639286272,2014-04-10 14:00:42,🐢🐢🐢🐢🐢
454257606308012033,2014-04-10 14:00:27,RT @MooreMakala: Mrs. Schultz is enough to ruin anyone's day
454216009462054912,2014-04-10 11:15:10,I look like a real girl today!
454054297324781568,2014-04-10 00:32:35,Does anybody know where I can get some pecan pie
453886457363853312,2014-04-09 13:25:38,It's hard to have a bad day when you're wearing cute underwear 😊
453627472521998336,2014-04-08 20:16:32,Work is gonna suck with my toe all goofed up
453504477970980864,2014-04-08 12:07:47,Love jamming out with homegirl every morning in the work room 🎶 #RHCP
453504047794774016,2014-04-08 12:06:05,@l_tarpley were*
453502217157611520,2014-04-08 11:58:48,We're we supposed to read hamlet? #help
453338496447832064,2014-04-08 01:08:14,Sleepy. Need another pre bedtime nap
453246927300472832,2014-04-07 19:04:23,@leoben7 do you work Saturday?
453124771455459328,2014-04-07 10:58:58,Drinkin lemon water. Just very sad lemonade
452993259376492544,2014-04-07 02:16:23,Emotionally unstable due to the fact that it's a school night
