id,created_at,text
456816374124257280,2014-04-17 15:28:05,@deskin_17 best song in the league
456652999461314560,2014-04-17 04:38:53,@brimac_xo @jrouth9 that niggas coming for you
456652469213224960,2014-04-17 04:36:47,@brimac_xo @jrouth9 the ending sucked but overall solid movie
456525958749487105,2014-04-16 20:14:05,Getting back on the ice today is going to feel so good
456508409110491136,2014-04-16 19:04:20,RT @LifeAsBros: 😂😂😂😭😭 http://t.co/Gq6cvyMwLP
456484814087286784,2014-04-16 17:30:35,RT @MAGS0N23: Long lost cuzzo from the Middle East http://t.co/cTXBz8ridK
456476702395596800,2014-04-16 16:58:21,RT @maryverneris: Been at this gas station for 30 minutes now b/c my dad won't stop arguing with the guy cause a can of dip is $12 in New Y…
456110689312980992,2014-04-15 16:43:57,"RT @jamieeshoe: kelly accidentally ordered her prom dress 7 times and charged my moms credit card over 1,000$ #ShesGoingToCollege"
456109494926581761,2014-04-15 16:39:12,RT @miilkkk: Damn 😳 https://t.co/8DovcL6puY
456092976234500097,2014-04-15 15:33:33,Fuck this rain
455829639249006592,2014-04-14 22:07:09,"Just got rich, just took a broke niggas bitch"
455786307370115073,2014-04-14 19:14:58,RT @LifeAsBros: Air Force Juans http://t.co/pgEAmCLgZW
455504087086546945,2014-04-14 00:33:31,RT @jsmyth05: @smyth_aidan12 @deskin_17 @maccccdaddy_20  https://t.co/kTHuzyoxil
455479033149800450,2014-04-13 22:53:58,RT @E_Rezzz: @maccccdaddy_20 thanks bro
455421673857355776,2014-04-13 19:06:03,Happy birthday brotha man keep in 💯 @E_Rezzz
455378310550528000,2014-04-13 16:13:44,RT @jennastellatoo: I need to do something productive today
455362273847300096,2014-04-13 15:10:00,"RT @YEETEdits: BRUH WHAT
https://t.co/aDiBzeSKgU"
455353074975256577,2014-04-13 14:33:27,Fucking temple grill AHAHHA
455189560998522880,2014-04-13 03:43:43,@piasexy5 that was a unreal game
455189406992052224,2014-04-13 03:43:06,We just got pulled over
455169935627784192,2014-04-13 02:25:43,@piasexy5 there nasty
455168294069501952,2014-04-13 02:19:12,434 Humphrey street come through
455159284448657408,2014-04-13 01:43:24,@mikeregan8 how dare you say that
455151781337911296,2014-04-13 01:13:35,@mikeregan8 fuck did you say
455110927902576640,2014-04-12 22:31:15,RT @Hoppkinss: Wish there was a throwing up emoji so I could express how I feel about certain people to certain people
455078113886494720,2014-04-12 20:20:51,Good luck to my boys at prom tonight #beautys #fashionkillas http://t.co/NuQHd59KpS
455071371538997248,2014-04-12 19:54:04,RT @NightLifeFails: He passed out and missed the chance of his life http://t.co/UzklQMBL1a
454628002346065920,2014-04-11 14:32:17,RT @FunniestTextss: Ex girlfriend! http://t.co/zAJEfzU2MZ
454627631414390784,2014-04-11 14:30:48,RT @rifraf13: I just want beach weather
454620286458294274,2014-04-11 14:01:37,RT @Tessa_renee2: PROM 2014 @brimac_xo @tgophers http://t.co/SD6w6FJm9i
454487013010309120,2014-04-11 05:12:02,RT @NiggasBLike: Back in the day if we had a problem we'd meet here http://t.co/d8bM5Afhuv
454476693282250752,2014-04-11 04:31:02,RT @ClassicPict: Python. http://t.co/TvCxSLucI6
454476075243171840,2014-04-11 04:28:34,RT @NCAAIceHockey: .@GopherHockey vs @UnionHockey on Saturday at 7:30 p.m. on ESPN. #FrozenFour http://t.co/qfUAjzA6DS
454476033157525504,2014-04-11 04:28:24,RT @LifeOfGiacomo: Aye Chicago Getting Wild As Hell G.. http://t.co/OeYKBiZKcM
454468402216587264,2014-04-11 03:58:05,RT @katiegontarski: When Tim has to write a paper about 5 rules he lives by😂😂😂 god I love my brother @TimothyGontarsk http://t.co/1qyFgGngWn
454463125891584000,2014-04-11 03:37:07,@piasexy5  Gostisbehere on Union is unreal
454462289522200576,2014-04-11 03:33:47,"@piasexy5 ahah yes it is, I think union will pull through will the dub"
454458477881344000,2014-04-11 03:18:39,"@piasexy5 I wanted the golden gophers to win but the goaltending was outstanding, it's going to be a good game Saturday"
454456874839330816,2014-04-11 03:12:17,@piasexy5 that game was crazy
454456315348516864,2014-04-11 03:10:03,Golden gophers baby
454456056820015105,2014-04-11 03:09:02,0.6 seconds left and they win the game...... Wow
454451948012716033,2014-04-11 02:52:42,RT @FunnyDMs: 😂👏 http://t.co/hBeSKvy5uA
454420063102451712,2014-04-11 00:46:00,"RT @MufAhsaa: Who should win hide and seek champ?

Malaysian plane
Waldo
Or Tyrone’s dad"
454419212237549568,2014-04-11 00:42:37,This breaks my heart http://t.co/gib0gpiwfa
454411285636321280,2014-04-11 00:11:07,@jrouth9 #studentathlete #gottahitthebooks #getthosegradesup #iplayhockey #youplayhockey #wearenastyatBball #gophersucks
454410234212392961,2014-04-11 00:06:57,#nationalsiblingday http://t.co/Om1to8lEzZ
454407778422235138,2014-04-10 23:57:11,"RT @carolinemccowen: Less people, less bullshit"
454389828692742145,2014-04-10 22:45:51,@gigipesticci positive
454389739177902082,2014-04-10 22:45:30,https://t.co/NrnMyBSk1v @smyth_aidan12 @deskin_17 @jsmyth05
454388964573872128,2014-04-10 22:42:25,@gigipesticci you sure
454388755609419776,2014-04-10 22:41:36,@SimonneCarrasco @mikeregan8 @gigipesticci hey mike
454379924569481217,2014-04-10 22:06:30,I love making money
454326500620517376,2014-04-10 18:34:13,RT @CloydRivers: Merica. http://t.co/PJ37Ig6r13
454326455586263041,2014-04-10 18:34:02,RT @CloydRivers: Merica. http://t.co/QZIbSgZkkt
454325867179958273,2014-04-10 18:31:42,RT @Mathewsb1996: Simonne Shane
454083185777717248,2014-04-10 02:27:22,"RT @miilkkk: Bae: ""Come Over"" 
Me: ""I gotta watch the house"" 
Bae: ""I'm Horny.."" 
Me: http://t.co/90UcCxRymZ"
454081818736590850,2014-04-10 02:21:56,Bank of America account got 6 figures
454071100368900096,2014-04-10 01:39:21,RT @HeaIthTip: True 😂👌 http://t.co/7n9ysWR8d8
454063536180715520,2014-04-10 01:09:17,RT @brimac_xo: Break is gonna be soooooo funnn😍
454059584575909888,2014-04-10 00:53:35,@MarcMass12 coach you don't know what this means to me! I promise I won't let you nor the club down #hummbabe #hotsoup #imreadytodraw
454058892352184320,2014-04-10 00:50:50,Listening to all this country makes me want summer 10 times more than I already do
454058380181524480,2014-04-10 00:48:48,She's the moon in my shine the whiskey in my water
454056679559413760,2014-04-10 00:42:03,@MarcMass12 okay coach!!!! I promise I won't let you down!!!
454053183523160064,2014-04-10 00:28:09,@emeliaimperati 😘
454052041539596288,2014-04-10 00:23:37,@MarcMass12 me
454051328894197760,2014-04-10 00:20:47,Police pull up I'm tryna stash the glock
454050032262840320,2014-04-10 00:15:38,Bitch who you love
453942193397714944,2014-04-09 17:07:07,RT @matt1010100: Damn uconn https://t.co/61tc11u3Gz
453909642230644736,2014-04-09 14:57:46,@BigDaddyNakk4 your lying!!!!
453889583407955968,2014-04-09 13:38:04,I hate health class
453889119731859456,2014-04-09 13:36:13,RT @ImPajamaKid: http://t.co/e6ISUZBpBT
453888503311769600,2014-04-09 13:33:46,RT @ImPajamaKid: When someone retweets my tweets http://t.co/dFw83J2OxH
453887720860168192,2014-04-09 13:30:40,"RT @ImPajamaKid: ""get off your phone""  

me: http://t.co/u944dfdxwM"
453735033166381056,2014-04-09 03:23:56,RT @BWGotheem: Looking at your grades.. http://t.co/kXXRE1X1yl
453698387305455616,2014-04-09 00:58:19,RT @chloeonvine: i'm done for the day http://t.co/4EYgFCNzuY
453686774779633665,2014-04-09 00:12:10,@Shruggy_DOE_ oh sorry to hear brotha
453681583602819072,2014-04-08 23:51:33,@ZIannone23 goodshit congrats!
453679799979245568,2014-04-08 23:44:27,"@ZIannone23 goodshit brotha, Titleist?"
453679390866808832,2014-04-08 23:42:50,@ZIannone23 golf?
453675832473821184,2014-04-08 23:28:42,@sofialiucci that sucks
453675557796855808,2014-04-08 23:27:36,@Shruggy_DOE_ who
