id,created_at,text
456863903989768192,2014-04-17 18:36:57,RT @reIatabIe: i can't believe how much time i wasted on some people and some relationships HAHAHAhahaAh
456829342375350272,2014-04-17 16:19:37,RT @BaIIplayer: It's ok if you think baseball is boring. It's kind of a smart person's sport.
456803971106353152,2014-04-17 14:38:48,I keep thinking it's Friday 😭
456640132796280833,2014-04-17 03:47:46,“@HighSkoolProbs: Me at prom http://t.co/UciCufsudv” @makenzie_p13 😂😂😂
456635019151171585,2014-04-17 03:27:27,"“@aLovepost: I like you because I can never stay mad at you, I can't stand not talking to you and I can't stand the thought of losing you.”"
456634955846533121,2014-04-17 03:27:12,RT @aLovepost: All I do at school is watch all the girls pretend to be friends with each other
456633922831405056,2014-04-17 03:23:05,Honey he's taken
456633769584128000,2014-04-17 03:22:29,Lol creep much?
456632130483650560,2014-04-17 03:15:58,RT @Alyx_Bohannon: “@CommonWhiteGirI: to be honest http://t.co/qSVLa8ZDO2”
456627622613487617,2014-04-17 02:58:03,“@antijokeapple: You wanna know what's totally out of this world? The moon.” @NJaceP55
456625133336014848,2014-04-17 02:48:10,“@BestFrandProbz: my best friend is a life saver when it comes to letting me borrow her clothes” @Alyx_Bohannon 😂
456624287105814528,2014-04-17 02:44:48,RT @cascnicole: Love how protective my boyfriend is over me 💪❤️😋
456623036150460416,2014-04-17 02:39:50,RT @cascnicole: So am I the only one staying home for college now? 🙈
456619475249283074,2014-04-17 02:25:41,Is it really not Friday yet 😐
456610121074745344,2014-04-17 01:48:30,"""Your lipstick stain is a work of art I got your name tattooed in a arrow heart and I know now that I'm so down"" 🎶"
456607577141288960,2014-04-17 01:38:24,RT @Football__GF: My boyfriend is always the person I go to whenever I need to be cheered up ☺️❤️
456562502638120960,2014-04-16 22:39:17,@sarahEphelps @NJaceP55 okay! 😂😂
456562366340022273,2014-04-16 22:38:45,@sarahEphelps @NJaceP55 Ima tell them how I feel one day 😐
456562247020445697,2014-04-16 22:38:16,@NJaceP55 I'm calling the refs they ain't special
456562036667736065,2014-04-16 22:37:26,@sarahEphelps @NJaceP55 they are freaking refs in every other sports just bc it's for baseball they shouldn't be special 😒
456538350531248128,2014-04-16 21:03:19,I hate missing games 😔 but this cutie 😍 http://t.co/jrnGolFJfy
456523783835103232,2014-04-16 20:05:26,RT @reIatabIe: if you use my colored pencils you better put them back in rainbow order
456509389742944256,2014-04-16 19:08:14,RT @lifeofabrunette: Wake me up when it's time to graduate
456440999045132288,2014-04-16 14:36:29,@Alyx_Bohannon 😂
456273448726052864,2014-04-16 03:30:42,RT @WhennBoys: A relationship where you can act like complete idiots together is the sweetest thing ever.
456221229364441090,2014-04-16 00:03:11,“@BabyAnimalPics: When u see your crush across the room http://t.co/ZwaWbUsake” @NJaceP55
456146556660367360,2014-04-15 19:06:28,RT @Football__GF: I could meet every single guy on this planet and still want to be with you.
455912816219025408,2014-04-15 03:37:40,Karma honey 😂
455788342420856832,2014-04-14 19:23:03,RT @StealHisHeart: I don't want others to be involved in my relationship. Stay out of our business.
455750853849128960,2014-04-14 16:54:05,"RT @annawhiteee_: Look at us baby, we're still going.🎶"
455746065656840192,2014-04-14 16:35:04,RT @JudgmentalGay: You can still shine without dimming the light of those around you.
