id,created_at,text
456678400925896704,2014-04-17 06:19:50,My #wcw forever&amp;always 💙 http://t.co/feHpvg2iw0
456519683517079552,2014-04-16 19:49:08,RT @SportsViness: Best basketball play I've ever seen!  https://t.co/tfk7a5Rhj8
456176688045363200,2014-04-15 21:06:12,RT @SpeakComedy: Lmfao 😂👏 http://t.co/3ihAACw2MH
456176185085399040,2014-04-15 21:04:12,"Can I just be healthy again, so I can get back in the gym😷"
455785161368416256,2014-04-14 19:10:25,Why me?😭
455476209049022464,2014-04-13 22:42:45,Go away runny nose👃
455476079948361729,2014-04-13 22:42:14,RT @SoDamnTrue: Vanessa Hudgens is literally the queen of Coachella 😍 http://t.co/SgE1jStCYH
454869304320606209,2014-04-12 06:31:07,I think I have a cold😷
454850826083651584,2014-04-12 05:17:42,RT @UofNevadatweets: Have a safe night tonight people!
454848577735368704,2014-04-12 05:08:46,@KelloggisGrreat I was like ohh shit that's kev!!!
454846713153327104,2014-04-12 05:01:21,@KelloggisGrreat I saw your little fender bender accident😁 I was at the den
454845735314272256,2014-04-12 04:57:28,Emperor's New Groove drinking game #leggo http://t.co/aJFYMHkhua
454841485075050496,2014-04-12 04:40:35,Watched 12 year olds try to buy alcohol from Valleys😂😂😂 #GoHomeAndGrowSomePubes
454452271422533632,2014-04-11 02:53:59,Damn little! Favorite enough of my tweets?!🙉 @Donski_ http://t.co/UGF7rWZigD
454433328679374848,2014-04-11 01:38:43,My arms are done-zo💀
454410831330295808,2014-04-11 00:09:19,ΓΨΜ ΤΙΜΣ 💪
454399255407370241,2014-04-10 23:23:19,@indiblow if you can't wait you can go
454361812704579584,2014-04-10 20:54:32,Fml 😅🔫
454220100779130880,2014-04-10 11:31:25,Lance is going to kill me😅🔫
454191790661201920,2014-04-10 09:38:56,Fuckkkkkk what have I done! 😭😭😭
454016383781593088,2014-04-09 22:01:55,Berrrrrr
454016334959898624,2014-04-09 22:01:44,I guess it's 5 o'clock somewhere 👐
453979748864360448,2014-04-09 19:36:21,"#WCW💙 this girl means the world to me. I don't know where I'd be without her🌺 @ ☀️Carlsbad, CA☀️ http://t.co/BO9tafad5c"
453940150016307200,2014-04-09 16:59:00,"“@CauseWereGuys: Never too young for the booty. http://t.co/qjHCMpkLrZ”

lol😂"
453751679154794496,2014-04-09 04:30:05,#CheatDay
453743740914380800,2014-04-09 03:58:32,"“@TopBabyAnimals: Bag of puppies😋 http://t.co/NghKLQfzUu”

@CasandraaHurdle 😱😱😱baaaaah"
453733733351161857,2014-04-09 03:18:46,@whitschack GREAT show
453733674698018818,2014-04-09 03:18:32,Who needs science classes when I can watch House M.D.
453733120278142976,2014-04-09 03:16:20,"House M.D. on Netflix. Whelp, there goes my social life."
453725394286280704,2014-04-09 02:45:38,RT @Lord_Voldemort7: But could #UCONN beat Gryffindor at quidditch?
453701485021257728,2014-04-09 01:10:38,@littlemaggs that's be awesome!
453700654540664833,2014-04-09 01:07:20,@littlemaggs maybe get a cool tattoo over it later or something!
453700242311901185,2014-04-09 01:05:41,@littlemaggs they'll make for some pretty dope scars!
453616911876902913,2014-04-08 19:34:34,OMG there's a guy in my psych discussion named Vajay😂😂😂
453616083178516480,2014-04-08 19:31:16,"@omarmz1 @GarysInDaHouse @indiblow @DaT_IsH_Bray @TJSl8r 

I think Gary tagged the wrong TJ @tjkolesnik 😁"
453316179734450176,2014-04-07 23:39:34,Playing some fris with the roommates on this beautiful day☀️ http://t.co/gFBPbhNf3Y
453284972724375553,2014-04-07 21:35:33,Beautiful Reno weather this week☀️
453284870957981696,2014-04-07 21:35:09,@Savannahxxduh take a picture with someone else in one then lol
453284415448182785,2014-04-07 21:33:20,@Savannahxxduh proud of you 👌☀️👗 I expect to see an IG pic lol
453283954670325761,2014-04-07 21:31:31,@Savannahxxduh did you wear one today?
453282966513258496,2014-04-07 21:27:35,"“@_lucasskywalker: I expected more sun dresses today”

#truuu 👐"
453274129656197121,2014-04-07 20:52:28,Nationals was the experience of a lifetime. I'm so thankful that I joined the volleyball team and met… http://t.co/S6IVMZGmTZ
453262235687583744,2014-04-07 20:05:12,OMG our kitchen is clean😱 #Apt3 #FirstTimeSinceAugust
453248557517000704,2014-04-07 19:10:51,@mangoninja579 💩 you spent way too much
453248194361561088,2014-04-07 19:09:25,@mangoninja579 hit up amazon brah
453236560838656000,2014-04-07 18:23:11,Kate Beckinsale is so damn attractive👐 #Click
453003741080207360,2014-04-07 02:58:02,In honor of Mean Girls being on Netflix now😂 #SNLreference #Glice http://t.co/jrNZejXJmD
452995619724869633,2014-04-07 02:25:46,@alienhoes yeah brah I got you
452995346109448192,2014-04-07 02:24:41,@alienhoes yeah!
452982304109895680,2014-04-07 01:32:51,Divergent was dope 👐
452945703719809024,2014-04-06 23:07:25,Watching Divergent in style #GalaxyTheaters #ReclinerLife http://t.co/uBKWQ5G67i
452944015336284163,2014-04-06 23:00:43,Yay! New moccasins! #scheels
452923599381209088,2014-04-06 21:39:35,29!!! #NewGirl #coincidence #iThinkNot #ImSchmidt http://t.co/WHlC1tQyq6
452922983632220160,2014-04-06 21:37:08,"Just got asked if I used to work at In N Out, due to my complicated order😂thanks @indiblow for teaching me the ways #WeGotAComplicatedOrder"
452911678066130944,2014-04-06 20:52:13,"RT @WorIdView: Baby Turtle Swimming, Florida http://t.co/U7V43WkKKs"
452714560823115776,2014-04-06 07:48:56,"@mattchewizcool: ""Can I get two large Oreo MILKSHAKE please"" @kamifer13

*milkshakeS 
😂😂😂😂 
#ShesPresh #princess"
452679080861646848,2014-04-06 05:27:57,Partying with the North Dakota volleyball teams #nationals2014
452189761587793920,2014-04-04 21:03:35,"The cooler your shoes look, the better people will think you are at volleyball☺️ @indiblow @DaT_IsH_Bray http://t.co/ukW8T0azUk"
452155761884270592,2014-04-04 18:48:28,Reno in a nutshell 👐 #truuu http://t.co/iFeWKAz61S
452149489432674304,2014-04-04 18:23:33,"RT @UofNevadatweets: ΑΤΩ dance-a-thon tonight in Hilliard plaza! $5 to participate! Can win an EDC pass, $100 shields gift card, or $200 vi…"
452071340044873728,2014-04-04 13:13:01,At least I have this huge ass bowl of Apple Jacks🍎 #SilverLining
452070069560807424,2014-04-04 13:07:58,6am is so early! #NationalsProblems
451975213664583680,2014-04-04 06:51:02,"“@CasandraaHurdle: Proud of my baby and his team today! #NEVADA”

Thanks babe! I love you💙"
451537257350959104,2014-04-03 01:50:45,I'm in volleyball heaven right meow😍😍😍
451481363565137921,2014-04-02 22:08:39,This dude in my psych discussion has six kids😳
451459020117667840,2014-04-02 20:39:52,"RT @kingsleyyy: I'm so fancy 💅
You already know 💁
I'm in da fast lane 🏃
From LA to Tokyo ✈️"
451453222725492737,2014-04-02 20:16:50,So it's Wednesday😳 #wcw http://t.co/qLWAmw7837
451427620106682368,2014-04-02 18:35:06,#NP Alesso's UMF 2014 set
451422651773243392,2014-04-02 18:15:21,Time for cup #2 ☕️
451408026327474176,2014-04-02 17:17:14,@Cydmeows business is probably thriving!
451399008896819200,2014-04-02 16:41:24,@Cydmeows where's Ileana??
451398577999212545,2014-04-02 16:39:42,@Cydmeows get up!
451398535024349186,2014-04-02 16:39:31,And a nice big cup of hazelnut Colombian roast coffee☕️
451398063727190016,2014-04-02 16:37:39,Cinnamon bun waffles for breakfast😍
451188435403800577,2014-04-02 02:44:40,RT @SheswantstheD: I'm tryin' to pass this semester.. http://t.co/5QrIFnQ4sh
451184138452623360,2014-04-02 02:27:35,RT @GirlfriendNotes: I love my MOM  ❤ http://t.co/eLhsih0QRz
451172686022983680,2014-04-02 01:42:05,@TheOrlando5000 still the best show 👐
451172302403543040,2014-04-02 01:40:33,"“@chilltweetss: Open this 😏 http://t.co/nfvIsJWYVH”

😂😂😂"
451168791075258368,2014-04-02 01:26:36,I can't believe it's over😭 It was the best show I've ever seen #HIMYM http://t.co/vKyoCCiDLQ
