id,created_at,text
456808333446754304,2014-04-17 14:56:08,I'm not sure what's worse: the look on the Easter Bunny's face or my classy attire #tbt http://t.co/N37TO670dT
456648878385676288,2014-04-17 04:22:31,"Yeah, I will not be attending my morning class"
456647898592063488,2014-04-17 04:18:37,RT @RedSox: Jonny Gomes gives the #RedSox a 4-3 lead with a sac fly in the 11th. White Sox coming to bat.
456646009309769729,2014-04-17 04:11:07,Gomes with the sac fly!
456640989713534976,2014-04-17 03:51:10,I wonder what it's like to have an apartment with heat
456637224310689793,2014-04-17 03:36:12,@rebeccacutler93 no...🔫
456630127514775552,2014-04-17 03:08:00,I'm frozen
456527214821912576,2014-04-16 20:19:04,"RT @RedSox: 4/16 at CWS: Pedroia 2B, Bogaerts SS, Ortiz DH, Gomes RF, Sizemore LF, Pierzynski C, Nava 1B, Roberts 3B, Bradley Jr. CF, Buchh…"
456519495536742400,2014-04-16 19:48:24,It's so cold in this apartment ❄️ I'm practically a ⛄️
456518476278931456,2014-04-16 19:44:21,Dreading work. I really just want to nap
456491874241757184,2014-04-16 17:58:38,My stomach is hardcore growling on the shuttle right now and this girl is giving me death looks 😒 yeah I don't want to be hungry either
456458968450076672,2014-04-16 15:47:53,I should probably care a little more about my lab practical
456444829267132416,2014-04-16 14:51:42,RT @m_yaceshyn: literally no attention span today
456438099648589824,2014-04-16 14:24:57,So uh who wants a 5-cl tonight?
456432718902198272,2014-04-16 14:03:34,I cannot wait for my country filled summer ☀️🎶🍺
456277703474163712,2014-04-16 03:47:36,Damn that one hurt
456275716930564096,2014-04-16 03:39:42,It's so cold I'm sh-sh-shivvvering
456270306332934144,2014-04-16 03:18:12,Gomes baby don't let me down
456265051973115904,2014-04-16 02:57:20,My hair needs to be about 4 inches longer
456246569671856128,2014-04-16 01:43:53,"The uglier the snap chat, the closer we are as friends."
456230830466420736,2014-04-16 00:41:21,I've purchased 25 pairs of undies in less than a month from Victoria's. I have a problem 😁
456216192903303168,2014-04-15 23:43:11,RT @jenniferlynn_sm: i turn red so easily then get even more embarrassed because of how red i am
456208200212434944,2014-04-15 23:11:25,But why does my face get instantly red in situations 😳
456185847176785920,2014-04-15 21:42:36,I'm 100% serious when I say I need someone to help me with my Access homework 😩
456184358911889408,2014-04-15 21:36:41,"Nothing good ever comes from the statement ""how bad of an idea would it be if..."""
456109586680782848,2014-04-15 16:39:34,RT @TRALPH30: Anyone thoroughly understand Microsoft Access that would be willing to help me with it tonight?
456077149095874560,2014-04-15 14:30:40,@TRALPH30 we'll be fine without him
456072927713435648,2014-04-15 14:13:54,@TRALPH30 Ellsbury was not worth resigning at all. not worth the money to sit on the DL for a hang nail the majority of the season
456071481395388416,2014-04-15 14:08:09,@TRALPH30 I'm well aware but it's still only April. We have 5 more months of baseball. #HatersGonnaHate
456068586650353664,2014-04-15 13:56:39,@TRALPH30 #RaysSuck
456066469701648384,2014-04-15 13:48:14,@TRALPH30 bye 👋👋
456052701907124224,2014-04-15 12:53:31,The Sox are back tonight!
456049643382927361,2014-04-15 12:41:22,"Hopefully since Despicable Me is on to start my day, it'll be a great day."
455911478634106880,2014-04-15 03:32:21,RT @Ch4BrickTamland: isn’t it weird to know most ppl had sex? that cute old lady sitting next to you on the bus? prob choked on a dick at o…
455906755638484992,2014-04-15 03:13:35,"The moon thing starts at 12:53 but will be at it's ""bloodiest"" at 3:07..."
455905821994807296,2014-04-15 03:09:52,Is this Blood Moon thing legit? Contemplating staying up for it
455783156134977537,2014-04-14 19:02:27,Only making a quesadilla for an excuse to eat an excessive amount of guacamole
455765654193582080,2014-04-14 17:52:54,"""Those who don't believe in magic will never find it"""
455748872808448001,2014-04-14 16:46:13,I want another tattoo 😁
455729624476311552,2014-04-14 15:29:44,I've seen an unreal amount of iced coffees on campus today. It must be spring
455533282189656064,2014-04-14 02:29:32,I hate that tomorrow is Monday but I'm extremely happy it's only a 4 day week then Easter weekend!
455514862089936896,2014-04-14 01:16:20,Yup I want pineapple 🍍
455503814947110912,2014-04-14 00:32:27,RT @K_Cott08: This whole school thing is such a struggle
455503587402342401,2014-04-14 00:31:32,RT @MLBFanCave: Followers to RETWEET can win a baseball signed by Jonny Gomes. #MLBFC http://t.co/cpDjzJjeNP
455380213091008512,2014-04-13 16:21:18,"I would appreciate a fast shift today so I come home, relax and watch the Sox while attempting to study"
455336976989052928,2014-04-13 13:29:29,Someone take my 1:30-close or switch for a later shift puhlease
455332033209061376,2014-04-13 13:09:51,I really don't want to drive back to Worcester to go to work 😔
455200437373632512,2014-04-13 04:26:56,But I can't believe I literally walked around the mountain today... #blondemoment
455188634770370561,2014-04-13 03:40:02,I don't need a full head of dreads but definitely a few with some beautiful hair wraps 🌀
455182567256637440,2014-04-13 03:15:55,Exhausted. That extremely long over extended hike kicked my butt
455174697064620032,2014-04-13 02:44:39,Say crack again
455062726604505089,2014-04-12 19:19:43,Beautiful day on top of Watatic #mountain #nature #blueskies @ Mount Watatic http://t.co/lUGecDlUx3
455014555098562561,2014-04-12 16:08:18,My family told me a friend was waiting for me in my room. They finally got me the bulldog I've been waiting for. http://t.co/xFIFNrZGu1
455010924379009024,2014-04-12 15:53:52,You know your family is redneck when there is a deer skull drying out in your backyard
454699306973290496,2014-04-11 19:15:37,@The_Dalt no it's a question
454695808257232897,2014-04-11 19:01:43,@The_Dalt I agree that I also wanted a burrito...such a wise ass Dalt
454693288248082432,2014-04-11 18:51:42,"RT @RedSox: 4/11 at NYY: Gomes RF, Pedroia 2B, Ortiz DH, Napoli 1B, Sizemore LF, Bogaerts SS, Roberts 3B, Ross C, Bradley Jr. CF, Lester LH…"
454678811259711488,2014-04-11 17:54:10,It's beyond disappointing that the Jonny Gomes meet and greet was in New York and not in Boston on Wednesday
454678124098514944,2014-04-11 17:51:26,RT @MLBFanCave: Jonny Gomes shows off his tattoos at the #MLBFC. http://t.co/uL7rOnrWTH
454652668276137984,2014-04-11 16:10:17,RT @rebeccacutler93: Idk if I can last 3 1/2 more weeks of this semester
454648424730992640,2014-04-11 15:53:26,"This girl keeps saying ""I want a burrito"" and I couldn't agree more"
454626175353384960,2014-04-11 14:25:01,@maryregann of course #onlyGodcanjudgeyou
454625676327677952,2014-04-11 14:23:02,My mind isn't an etch-a-sketch. I can't erase that image
454622650909081602,2014-04-11 14:11:01,"@maryregann I think ""your friends"" physical appearance would soon start to resemble a gummy bear"
454606495330881536,2014-04-11 13:06:49,"@SarahMuse @Incrediblekate8 you're kidding, I literally bought a new pair Tuesday...."
454478641196703744,2014-04-11 04:38:46,Tongue rings 😖
454472740662431744,2014-04-11 04:15:19,☺️
454337462320766976,2014-04-10 19:17:46,#NationalSiblingDay or not I'm happy to have this goofball in my life ❤️ #tbt love you brudder #werd http://t.co/rGDMzrEjIl
454268784413794305,2014-04-10 14:44:52,I'm a little worried about Buchholz taking the mound this evening
454081980028579840,2014-04-10 02:22:35,I love The Sandlot
454078330061742080,2014-04-10 02:08:04,Adventure is the best way to learn
454071567509884928,2014-04-10 01:41:12,Feels amazing to put sweat pants on
453988497133948929,2014-04-09 20:11:07,Beautiful afternoon for some #RedSox #baseball #MyFenway @ Fenway Park http://t.co/bEpkOBByDZ
453942131678543872,2014-04-09 17:06:52,But Gomes is playing tonight!!!! 😍😍😍😍😍😍😍😍😍
453941935338967040,2014-04-09 17:06:05,"RT @RedSox: 4/9 vs. TEX: Gomes LF, Pedroia 2B, Ortiz DH, Napoli 1B, Bogaerts SS, Nava RF, Roberts 3B, Ross C, Bradley Jr. CF, Peavy RHP."
453891390221856768,2014-04-09 13:45:14,My mirror lies to me every morning by making my legs look long. We all know that isn't true at all
453878713432555520,2014-04-09 12:54:52,Nothing could ruin my mood today 😄
453878511640776704,2014-04-09 12:54:04,Wake up and be happy because it's #baseball season! ⚾️ #selfie #crazyhair http://t.co/UXFEykmugE
453875168105213952,2014-04-09 12:40:47,Good luck to Oakmont Softball on their game today! 💚⚾️💚
