id,created_at,text
456681317359304704,2014-04-17 06:31:25,It's official. My favorite freshman is @KevinJoelOlaya.
456679957377196032,2014-04-17 06:26:01,Baby you should let me love youuu.
456678597181186048,2014-04-17 06:20:36,And jealousy kicks innnnn now.
456537802587373569,2014-04-16 21:01:08,:O My easter break starts today! #NoClassTomorrow #PavoAt11Though
456536733849358336,2014-04-16 20:56:54,RT @TheWeirdWorld: I Waste So Much Time http://t.co/BclMlMq0sT
456474287805698048,2014-04-16 16:48:45,RT @ThisIsDeep_: http://t.co/TH481SaNIo
456451062539378691,2014-04-16 15:16:28,"Walk into my room, Kevin O'Neill: ""Yo dude check this out."" *climbs on bed and starts to twerk on the wall*"
456317081940533250,2014-04-16 06:24:04,"If you're gonna wake me up in the middle of the night, at least make it a juicy incident. #Boooo"
456291131999789056,2014-04-16 04:40:58,RT @Cugatron: Kevin is the Asian one and I'm the Hispanic one #learn #notthesameperson
456276226936565760,2014-04-16 03:41:44,My sister is turning TWENTY FOUR this year… #HolyCrap
456272752920371200,2014-04-16 03:27:56,I just sent my whole SnapChat list a selfie and I was gonna tweet it but... #LolJk http://t.co/B2tPJs6xMU
456265486821388288,2014-04-16 02:59:03,This is sleet. #Oh
456261214482350080,2014-04-16 02:42:05,Why is it snowing?
456258776837156864,2014-04-16 02:32:23,😔
456128301183279104,2014-04-15 17:53:56,I wanna make you feel wanted.
456122941504491520,2014-04-15 17:32:38,OH NO I'M ON CALL TODAY. As soon as I get back from clinicals too 😫
456119399247007744,2014-04-15 17:18:33,I need a good clinical day 🙏
455949471877455872,2014-04-15 06:03:19,Lunar eclipse with the best friend before I call it a night. #Kietrigo
455928847008296962,2014-04-15 04:41:22,"If I don't answer after four texts, get the message."
455906266452209664,2014-04-15 03:11:38,I'm not here for you to walk all over me.
455726053252943872,2014-04-14 15:15:32,"Every time I'm in nutrition class, I slowly start to get hungrier and hungrier."
455696640079196160,2014-04-14 13:18:40,Drained
455559183484858368,2014-04-14 04:12:27,I'm so glad Kevin Olaya and I are friends.
455556208598872064,2014-04-14 04:00:38,@kevinjoelolaya When we get out of our classes at 2? It just has to be before 4.
455550477804249089,2014-04-14 03:37:52,@kevinjoelolaya Why are you so awesome?
455549781319106561,2014-04-14 03:35:06,@KevinJoelOlaya will you really?!
455547765771501568,2014-04-14 03:27:05,I need someone to come help me program shop tomorrow. #preferablysomeonewithacar #buyingcasesofwaterandgatorade
455545528479387649,2014-04-14 03:18:12,Sometimes I feel like people don't stay mad at me just so they can use me.
455536910077681665,2014-04-14 02:43:57,RT @ktizzleeeee: @peanuh_buhah lol yeah me too. i saw it and i immediately thought of you #ramenandtweeting #snapchatyoueatingramen
455536806314778624,2014-04-14 02:43:32,WHAT JUST HAPPENED?! #GameOfThrones
455520672450494466,2014-04-14 01:39:26,“@ktizzleeeee: @peanuh_buhah http://t.co/nvv550G6qQ what if i got you this ramen bowl” I saw this at Magis! LMFAOOO #iwant
455519282185523200,2014-04-14 01:33:54,Watching a show with the Ugaz brothers is impossible. #lol
455509055297945600,2014-04-14 00:53:16,House Stark is still badass.
455419391656472576,2014-04-13 18:56:58,"The ONE person I wanted to talk to all of ASD, didn't happen. #ugh"
455214458886168576,2014-04-13 05:22:39,😔😔😔
455210872882085888,2014-04-13 05:08:24,When I play volleyball I don't have to think about anything else but the game. #HappyEvenIfOnlyForALittleBit
455209639630471168,2014-04-13 05:03:30,I wish I had friends who would play volleyball with me when I wanted to.
455208272598171648,2014-04-13 04:58:04,I always have the urge to play some volleyball.
455207500712017920,2014-04-13 04:55:00,"You talk shit about EVERYONE behind their backs, what do you say about me?"
455177490416545792,2014-04-13 02:55:45,Do you like the way I flick my tongue or nah?
455158300653674497,2014-04-13 01:39:29,Woop. Jealousy creepin' up a little bit there.
455074056023592960,2014-04-12 20:04:44,RT @chriswfitz: @TroyStende I heard you knocked ' em dead today at #Magis14 - set the bar high!  @saintpetersuniv has awesome students!
455073216135168001,2014-04-12 20:01:24,#Magis14 was pretty awesome. Can't wait until next year!
455052829565407232,2014-04-12 18:40:23,"""Cut the crap &amp; prioritize"" - @chriswfitz #Magis14 #100rules"
455047038556971008,2014-04-12 18:17:23,YYYYAAAAAASSSSS 🙌🙌🙌 #TeamPaige @PaigeNikkolee
455045069410934786,2014-04-12 18:09:33,"RT @chuhnacks: Me, @Cugatron, @peanuh_buhah, and @AshleySoto9 all volunteered. The original #teamratchet #dayone #MAGIS14 #leadershipfriends"
455045041829195776,2014-04-12 18:09:26,@chriswfitz session hasn't even starting and I can tell he's the man. #Magis14 #100rules
455018263710560256,2014-04-12 16:23:02,I think I put all my raffle tickets into a girl jar. #Magis14
455017496056455168,2014-04-12 16:19:59,RT @MarkAlano8: #Magis14 I want another raffle ticket ☺️
455017433745874944,2014-04-12 16:19:44,This is for you Jamie! #Magis14
