id,created_at,text
456603883742056449,2014-04-17 01:23:43,I would want Tom Hanks to play me in a movie
456264716235845632,2014-04-16 02:56:00,My grammar police self is sorry for the mistake in my last tweet.
456256002816765952,2014-04-16 02:21:22,"""Hey how's you're foreskin?"" @mo_ketch"
456219433330298880,2014-04-15 23:56:03,It's all about her anorexia or her gay boyfriend. @whitegrlproblem @mo_ketch
456161965107191808,2014-04-15 20:07:42,@JMichael_Bailey I think we jinxed it after acknowledging that the washer actually does eat your socks
454269382781595648,2014-04-10 14:47:15,There's a guy in my class who permanently smiles. We are talking about caskets right now and he is smiling........
454103679009058817,2014-04-10 03:48:48,"Mud, Titanic, Jumanji, AND Scary Movie 3?! Alright Netflix take a bow"
453025325673222144,2014-04-07 04:23:49,RT @Beggin: Ever in the history of ever! RT @JMichael_Bailey Beggin Party Poppers might be the single best dog invention ever #whenpigsfly
451574345995792384,2014-04-03 04:18:08,“@nicolerichie: A new child star is born! #candidlynicole http://t.co/g0yVwDDyou” @mo_ketch YES!!!!
450773471103299584,2014-03-31 23:15:45,Netflix is FINALLY getting on their movie game with these new additions
447780011651510272,2014-03-23 17:00:48,Hey @BenTWhitley wanna play Limbo? http://t.co/gAqXSNwInV
447388281198899200,2014-03-22 15:04:12,RT @Sethrogen: It had to be done: http://t.co/EXH2NJI3m9
446386539556524032,2014-03-19 20:43:39,"""I started an impromptu club in middle school called 'Asian Invasion' because I understood their clique."" @mo_ketch #wellrounded"
446141670535749632,2014-03-19 04:30:37,"@JMichael_Bailey the feminist bookstore never gets old. Every time you point, I see a penis."
445324093739786241,2014-03-16 22:21:52,RT @zachbraff: CNN is amazing at reporting all day on a story with no new facts. They just interviewed a seal who thinks he saw the plane.
444947559493410816,2014-03-15 21:25:39,"Whenever I think it would be cool to be famous, I remember they can still get guilted into prom by some freak in a viral YouTube video."
443911845078761473,2014-03-13 00:50:06,My stepmom told a patient she looked like Ugly Betty. 😶
443567578586169344,2014-03-12 02:02:06,"""I don't like her voice and she holds her mouth like a butthole."" @marygg #sweetie"
441800432772317184,2014-03-07 05:00:06,“@whitegrlproblem: Is your top made of Gluten? Because it's making me sick.” You and Babe are more alike than I thought @mo_ketch
