id,created_at,text
456866801561784321,2014-04-17 18:48:28,If people don't hate then it won't be right
456601728666710016,2014-04-17 01:15:10,fwmykigi
456597960638214145,2014-04-17 01:00:11,Never understand people who workout in jeans
456470850099630080,2014-04-16 16:35:06,RT @trutherbot: http://t.co/jxX9AmxgKi
456452648556691456,2014-04-16 15:22:46,The suffering - coheed and cambria
456441220235943936,2014-04-16 14:37:21,RT @trutherbot: http://t.co/8ALfdQ33sU
456208425358073856,2014-04-15 23:12:19,"RT @BMS_ThadCastle: I'm not cocky, I'm just better than everyone"
456199612483653632,2014-04-15 22:37:18,@TIannarilli new star player on my team in Darren McFadden. Whoever he plays for in real life is my new favourite team
456161900795928576,2014-04-15 20:07:26,@TIannarilli I've come to the conclusion I need a DC. Fridge is stocked with Bru and brews.
455923130867802113,2014-04-15 04:18:39,I like green tea
455899193694257152,2014-04-15 02:43:32,"RT @wheelingprobs: 5'10"" Rookie Justin Johnson destroys 6'8"" Behemoth John Scott! https://t.co/9KU64gCgIV"
455899047321022464,2014-04-15 02:42:57,"RT @Wyatt5May: Why is it that I can watch all the episodes of bms, then just restart! #bestshow #BMS"
455889040315670528,2014-04-15 02:03:11,@codyrusticus @sarahgerri I believe it's called Canadian Tire Motor Speedway now
455788574026117120,2014-04-14 19:23:58,Aspiring to be the person who hands Maury the DNA results on the air
455782279822860288,2014-04-14 18:58:58,@TIannarilli I just scored a TD (you read that right) so it must have been Mackenzie dragging the offense down
455778608292712448,2014-04-14 18:44:22,@TIannarilli I took Devin Hester and DeSean Jackson as my first 2 picks. You can already tell what my gameplan is #IAmSpeed
455777680781099009,2014-04-14 18:40:41,"@TIannarilli I went out today and bought Madden 25, just finished my draft up as the bears. Team no defence"
455769711083401217,2014-04-14 18:09:01,RT @DonaldGlover: my team is honest. ur not on my team if ur not honest. dont lie to me.
455769646432415744,2014-04-14 18:08:46,RT @TheLadBible: I would never wish this on my worst enemy... http://t.co/YDj1CddBx2
455769537917358081,2014-04-14 18:08:20,I've recently watched the film Draft Day which has now persuaded me to become an NFL fan @TIannarilli
455514576792997888,2014-04-14 01:15:12,RT @WorkoutHumor: Never understood people... http://t.co/PzOw5FFAmF
455464095106347008,2014-04-13 21:54:37,@LLGcochrane @TrejbalChris Logsie go get me a juice box and take a lap
455457312421851137,2014-04-13 21:27:39,@itsabellavita11 I trusted a woman to cut my hair. She wrecked what great hair I once had
455456088326811648,2014-04-13 21:22:48,I had a dream last night that @TrejbalChris has a mullet and taught me how to speak to women what a nice guy
455353754812825601,2014-04-13 14:36:09,RT @hockeynight: Emotional final 3rd period for Ryan Smyth #hockeynight https://t.co/kpQs36wOmO
455346212871221250,2014-04-13 14:06:11,How many times can Suarez dive before he gets a second yellow?
455344144068521985,2014-04-13 13:57:58,Hahahahahahaha Liverpool
455081813015543808,2014-04-12 20:35:33,I forgot how amazing Coheed and Cambria are
455075583488454656,2014-04-12 20:10:48,"RT @Amrit94: The leafs better lose tonight for better positioning in the draft, and the sens... Oh I forgot they traded the pick away."
454996779017068544,2014-04-12 14:57:40,First day back at The Choice weeeeoooo
454824008760819712,2014-04-12 03:31:08,We ain't spoke in so long
454806112751988736,2014-04-12 02:20:01,"Mike just used the term ""selfie""."
454797160949637120,2014-04-12 01:44:27,💂
454695457638191104,2014-04-11 19:00:19,RT @_LiftingProbz_: Do what works for you. 🙌 http://t.co/owQ4jksh4m
454669727148027904,2014-04-11 17:18:04,The lads out for a Friday stroll #KingMike http://t.co/iMZYXaVo8O
454665062733471744,2014-04-11 16:59:32,STEVE MADDEN
