id,created_at,text
456308134806425601,2014-04-16 05:48:31,“Never ignore someone who loves you and cares about you. ‘Cause one day you may realize you lost the moon while counting stars.”
456196680673935360,2014-04-15 22:25:39,just convinced a kid at afterschool that I made meth in my dorm room. #casual
456178238616657920,2014-04-15 21:12:22,"one of the little boys at afterschool just said ""all the haters love me"" hahahahaha"
455846453076713472,2014-04-14 23:13:58,just had a reality check as to how much I have to accomplish this week. 😭😭😭
455820046695415808,2014-04-14 21:29:02,I just really like crew neck sweatshirts
455813888890929153,2014-04-14 21:04:34,finally found a class to fit my schedule for next semester. okay music appreciation.
455747117534154752,2014-04-14 16:39:14,I'm so lucky to have been blessed not only an amazing big but a wonderful twin as well! I'm so excited… http://t.co/28Zt11vCYa
455595108415463424,2014-04-14 06:35:13,RT @Pero_dise: I love my little baby butterflies! @sarahhh_gee @happiedimples_ http://t.co/JRJ8ojofvq
455447789858611200,2014-04-13 20:49:49,in a funk
454424818755334144,2014-04-11 01:04:54,thankful thursdays 🌎 @ Leatherwood Loop http://t.co/CCEjdG7fY1
454351156873949184,2014-04-10 20:12:11,"""if you can make chocolate chip cookies, you can make meth"" lol okay national geographic"
454348377442893824,2014-04-10 20:01:09,"@michellephant seriously, let's do ittttt"
454338865570906112,2014-04-10 19:23:21,I would kill to go to coachella. #oneday
454125225240559617,2014-04-10 05:14:25,I love working with @NicoleLVacarell I don't even understand how I get paid for this.
454091118724907008,2014-04-10 02:58:53,RT @SportsCenter: Lacey Holsworth's relationship with Michigan State C Adreian Payne brought hope to a life that ended far too soon. » http…
454088424404684800,2014-04-10 02:48:11,RT @The_Faiz_Phase: I WANT A PUPPY!
453985604154314752,2014-04-09 19:59:37,RT @CauseWereClassy: #GuyTips get her this ring http://t.co/cB4irAkR7k
453773243254837249,2014-04-09 05:55:46,"RT @ColIegeStudent: The struggle between maintaining my bank account, GPA, and sanity is becoming too real right now."
453760129352368128,2014-04-09 05:03:39,"sadly to say, turnip tuesday was shut down. #fineeeee"
453749655445467136,2014-04-09 04:22:02,downloading music seems like a valiant reason to avoid homework.
453715294272237568,2014-04-09 02:05:30,RT @TheFunnyVines: So accurate http://t.co/X6mGo8smy8
