id,created_at,text
389592129926086656,2013-10-14 03:22:56,Who wanna help me study for midterms?! Lls
383997082199007233,2013-09-28 16:50:13,"you saaaaaaaay its because of my age girl,  but age aint nothing but a numberrrr (in my Pleasure P voice)"
383990943038205952,2013-09-28 16:25:49,this man takin a morning dump. lmfao
383990822531641344,2013-09-28 16:25:20,i miss my cat :(
368981786778279937,2013-08-18 06:24:47,"RT @Copasetic_Vibes: ""I rather not to be called needy I prefer high maintenance cause it makes me feel like a Kardashian"" #girlcode"
368977741170745344,2013-08-18 06:08:43,"RT @BrittanyFurlan: How white girls act w/ their black friends vs. how white girls act w/ their white friends. Simone Shepherd,... https://…"
368974844366315521,2013-08-18 05:57:12,RT @BrittanyFurlan: Why do gangs always have to be so  negative? Where ma happy gangs at???
368972671746195456,2013-08-18 05:48:34,GOING HOME TOMORROW!! :)
368813665887068160,2013-08-17 19:16:44,and just to keep from cryin I laugh
368812807740854272,2013-08-17 19:13:20,I cant spell SOBAAAA
368812645282881536,2013-08-17 19:12:41,RT @Peep_Style: Don't Care
368802757286703104,2013-08-17 18:33:24,dammit!
368802496535220224,2013-08-17 18:32:21,this thing here just aint meant for us
368802108360773632,2013-08-17 18:30:49,kill... obviously my head is messed up of this..
368802022700486656,2013-08-17 18:30:28,still fuckin thinkin about it!!
368801960041803776,2013-08-17 18:30:13,I hope when I get back and look at my phone that person texted or called.
368801710279368705,2013-08-17 18:29:14,smh I hate when my brother cries. STFU!!!! AHHHHHHH!!!
368800182596415488,2013-08-17 18:23:10,my lil brother likes chief keef! lmao
368799898860154881,2013-08-17 18:22:02,@ForePlayDre AYEE!!! that's a bet! yu can come out Annapolis then! lls.
368799711999713281,2013-08-17 18:21:17,@JocBurr I left it in the shuttle that took me to thje airport... lmao.
368799591891603457,2013-08-17 18:20:49,@ForePlayDre  shut up mondre where the fuck yu been at?! lol
368798211588112386,2013-08-17 18:15:20,listening to Bang 2.
368798061234900993,2013-08-17 18:14:44,@JocBurr Colorado. I come home tomorrow. and I LEFT MY PHONE AT HOME! -____-
368794797571448832,2013-08-17 18:01:46,RT @BestVinesEver: How to creep in kids in public https://t.co/h6b1H2GE3B
368792807407771648,2013-08-17 17:53:51,RT @BestVinesEver: Why won't anyone dance with me? https://t.co/lK3Cpk2Ov5
368790573567602688,2013-08-17 17:44:59,RT @BestVinesEver: Ooo kill em lil buzo molliy dance  https://t.co/OagvMTmTNg
368789735897972736,2013-08-17 17:41:39,RT @BestVinesEver: Cat gun https://t.co/YnJr55esGX
368789159801933825,2013-08-17 17:39:22,I need a jay.
368788982236069888,2013-08-17 17:38:39,needa get my mind straight.
368788890494054401,2013-08-17 17:38:17,smh. still thinking bout it tho.
368788471202066433,2013-08-17 17:36:37,going home tomorrow! :)
368243737182208000,2013-08-16 05:32:03,RT @SongsPost: Like a good neighbor... stay the fuck over there.
368238368938684418,2013-08-16 05:10:43,I MISS MY PHONEEE!!!! :((((((
368237302167781377,2013-08-16 05:06:29,"ahhhh, the life in Colorado"
368237197758980096,2013-08-16 05:06:04,just watched half baked with my dad... lol.
368193470797602816,2013-08-16 02:12:18,@juliematters JULIEEE!!! savee meee! I left my phone in Maryland... :((
367880244687929345,2013-08-15 05:27:39,never been the type to play games
367880126886723584,2013-08-15 05:27:11,smh im some shit at candy crush
367880018505916416,2013-08-15 05:26:45,who wanna send me a life on candy crush? lol
367879849559355392,2013-08-15 05:26:05,ima see a lot of yall family there too. lls
367879788653842432,2013-08-15 05:25:51,going to the zoo tomorrow with the fam :)
367879610110730241,2013-08-15 05:25:08,2 hours behind all yall...
367879517626314752,2013-08-15 05:24:46,blahhhhh im sooooo boreddddd
367778799988916224,2013-08-14 22:44:33,Missing Owon... :/
367486128275730434,2013-08-14 03:21:35,my little brother wrote me a song today
367486005386817536,2013-08-14 03:21:05,sooo tired.
367485889074573313,2013-08-14 03:20:38,RT @Lalaannharris: What a small world ...&amp; yet I never ran into Jay Z 😑
367485820254420993,2013-08-14 03:20:21,@JalinYaDumbass lol. its like 45 min away from home.
367478153792352257,2013-08-14 02:49:53,@JalinYaDumbass woah that's sooo far! and I go to school in Annapolis.
367477485715210240,2013-08-14 02:47:14,@JalinYaDumbass lol what are yu talking about?... I don't start school for 2 more weeks. where are yu in school?!
367476716672786432,2013-08-14 02:44:11,@JalinYaDumbass lol. well then tell me when yur home or something. have fun.
367473780806795264,2013-08-14 02:32:31,@JalinYaDumbass whas your #? I can call yu.
367462062093373441,2013-08-14 01:45:57,@JalinYaDumbass check yur dm kid!
367459580990607360,2013-08-14 01:36:05,@JennyisKimmy that's awesome tho. when do you leave?!
367459267013394432,2013-08-14 01:34:50,@JennyisKimmy yur lying! lmao what the hell that's far as shit!!
367459006370963456,2013-08-14 01:33:48,@JennyisKimmy where are you going to school?!
367457805378142208,2013-08-14 01:29:02,@JennyisKimmy lls. heyy Jennah!! Ive been in the cut.. Where have YOU been?!
367456731472740352,2013-08-14 01:24:46,@JalinYaDumbass im in Colorado for the week and left my phone at home...sooo I don't have it.. :(
367456187207254017,2013-08-14 01:22:36,@JalinYaDumbass JAHHLINN!!! How are yu?
367126944665440257,2013-08-13 03:34:19,hiking in the morning :)
367121044202455040,2013-08-13 03:10:52,my lil brother is so cutee.
367120881694158848,2013-08-13 03:10:13,I missed Colorado on the low.
366989208474230787,2013-08-12 18:27:00,RT @TheFunnyVines: 😱😱😱 https://t.co/uevq74ikNd
366987443561443330,2013-08-12 18:19:59,BAHHHHHHHHH I literally feel lost without my phone...
366987333158973441,2013-08-12 18:19:33,left my phone at home while im in Colorado.... WHAT AM I GONNA DO?!?!?!?!
365978781296492544,2013-08-09 23:31:55,@juliematters whatcha makin?
365978720760107008,2013-08-09 23:31:41,RT @lookaLIL_WESt: Lol who actually bakes the cookie dough
360920812603183106,2013-07-27 00:33:21,RT @chrisdelia: Ride or DIE?!?! What about ANYTHING IN BETWEEN?! Like not riding and just chilling instead of dying.
360913284402126850,2013-07-27 00:03:27,"RT @ThelIluminati: Be happy with who you are, stop letting other people put you down."
360913181947871232,2013-07-27 00:03:02,"RT @ThelIluminati: Never be afraid to start over, it's a new chance to rebuild what you want."
360913116202151936,2013-07-27 00:02:47,RT @LT8900: What I am  about do tonight ?
360913098678341633,2013-07-27 00:02:42,"RT @ThelIluminati: The smarter you are, the more you realize how little you actually know."
360912661740916736,2013-07-27 00:00:58,Who wanna get me some ritas? Lol.
360912591830257664,2013-07-27 00:00:41,I want ritas!
359869719483912193,2013-07-24 02:56:41,Boredddddddd
359869609379246081,2013-07-24 02:56:15,What's the move tonight
355149746245091329,2013-07-11 02:21:12,"I buy all my clothes, yu can't get no clothes, HAHA"
355149615672213505,2013-07-11 02:20:41,Blahh blahh
355149580502962176,2013-07-11 02:20:33,"Lyin, say yu get moneyy.."
355149253192065024,2013-07-11 02:19:15,RT @PutPrideAside: I have to take this into serious consideration... http://t.co/78bUQFtSgN
355149004222373890,2013-07-11 02:18:15,@ForePlayDre I gotchu! I miss yu man!!
355148825842810880,2013-07-11 02:17:33,RT @babyy_haiti: @LowEye_Ming rich assss
355148575270899713,2013-07-11 02:16:33,@ForePlayDre I been workin man. And right now I'm away with the fucking family I work for. Ima be back next Wednesday tho!
355148298673332224,2013-07-11 02:15:27,RT @ForePlayDre: @surethingkiddo nothing gurl.....WHERE TF HAVE YU BEEN
355144468875325441,2013-07-11 02:00:14,RT @zaryeuhh_: guys that know how to cook omg 😋🙌😍
355144409056149504,2013-07-11 02:00:00,@_cama_copo13 boringgggggg
355144312129982465,2013-07-11 01:59:36,Surrounded by little screaming crying brats till next Wednesday.  Wtf
355144086010859520,2013-07-11 01:58:43,I need a fuckin hobby for the next week.
355143859547815937,2013-07-11 01:57:49,RT @itslulnike: LUV DAT SHIT http://t.co/UZHvUBpuc7
355143563404775424,2013-07-11 01:56:38,@ForePlayDre  the fuck wrong with white people mondre? ! -________-
355143291341254656,2013-07-11 01:55:33,RT @SupremeSweet: ✋You can save that shit for somebody else ✌
355142983349305344,2013-07-11 01:54:20,RT @Pele_Pete: Smoking Kush an smiling
355142801165529089,2013-07-11 01:53:36,"RT @Munchkinn_J: I will blow up your phone until you answer, i have no shame."
355090368133468160,2013-07-10 22:25:15,This place seem like I'm in another country. -__-
350757707097194496,2013-06-28 23:28:48,RT @MileyCyrus: Busted taking selfies 💋 http://t.co/gikPNXw5as
346328250814955520,2013-06-16 18:07:44,@JadeRepublic cameron davis text me now! We need to hang out soon!
332353337313857536,2013-05-09 04:36:25,@juliematters OF COURSEEE!!!! lol. I coulda come out there earilerrrr. :(
332351935854309376,2013-05-09 04:30:50,@juliematters why didn't yu call me to hang out?!?!?!
331806163375112193,2013-05-07 16:22:08,RT @_painn: Raining like a muhh 😒
331806062271414272,2013-05-07 16:21:44,"""@juliematters: Woah good thing I brought my umbrella"" lmaooooo"
331805651586125824,2013-05-07 16:20:06,RT @juliematters: She said she loves my laugh
331805617134108673,2013-05-07 16:19:58,RT @juliematters: Haha I miss caroline so much!
331115588313284608,2013-05-05 18:38:02,"Wake up, bake up, gotta get my cake up"
331094804006060032,2013-05-05 17:15:27,RT @_chanelcouture_: I Could Fuck Youu All The Time
330406088342118400,2013-05-03 19:38:44,Got a bottle of whatever but its gettin us drunk
330403852551606272,2013-05-03 19:29:51,Aww shit only a couple more hours till #TurnUppppp
330403542705782785,2013-05-03 19:28:37,You don't know about me. But I bet you want to.
329611872808603649,2013-05-01 15:02:49,RT @teamcarter31: Cole came correct in that TrulyYours2
329344953908084736,2013-04-30 21:22:10,"RT @JadeRepublic: No, I won't kill you but, I'll watch you die."
329343797689466881,2013-04-30 21:17:34,RT @SeXXnWeirdos: Im far from your usual.
329343264857665536,2013-04-30 21:15:27,RT @600Boyz4LifeILL: AFTER TODAY THERE NO LOOKING BACK NOTHING BUT POSITIVE ENERGY
327297593543643136,2013-04-25 05:46:41,Ugh. Can't sleep.
327297521955241985,2013-04-25 05:46:24,RT @DreSoleHigh: People don't go on adventures anymore.
327227535958089728,2013-04-25 01:08:18,RT @LeonGonna69Her: Birthday next month ♊
327226877737570304,2013-04-25 01:05:41,"Re fuckin tweet ""@DiaryOfaBOSS_: Cant trust not a soul now a days"""
327226769184813057,2013-04-25 01:05:16,"Rt ""@Pain_n_SUCCESS: Seeing Is believing."""
326826889081663488,2013-04-23 22:36:17,RT @LifeInMyEyes_: Don't worry about someone who doesn't worry about you
326826832143978496,2013-04-23 22:36:03,RT @NeonYellowTrees: power trip&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
326826740188053508,2013-04-23 22:35:41,RT @ash_k0sh: I wanna go on a fancy dinner date 😍🙌👫😘
326816383541321729,2013-04-23 21:54:32,Rappin bout fat bitches tho... lmaoooo
326806122302418944,2013-04-23 21:13:45,"""Yu ain't sayin nothin to a muhfuckin BOSS!"""
326805819591114752,2013-04-23 21:12:33,I don't give a fuckkk
326803981798088704,2013-04-23 21:05:15,RT @karinamezax3: Lol I got tired of being called spoiled so I got my own job and now my dad won't give me money at all 😭😭
325413599340269568,2013-04-20 01:00:22,RT @MeekMilli_MMG: I might not be the easiest person to be with... 😕 but I am loyal. 👫👌
325409336924975104,2013-04-20 00:43:26,RT @Jayyyy_DGAF: Im Fed Up With The Lies Man !
324635871825498112,2013-04-17 21:29:57,Todays just not the day.
324635775994056704,2013-04-17 21:29:35,"RT @_pinkbullet: I take everything literal, it's a bad habit"
323132562736300032,2013-04-13 17:56:21,RT @JordiBellissima: Kiss my assss 💋
323132376588886016,2013-04-13 17:55:36,RT @LeonGonna69Her: Why are you callin my phone? You don't got nothing I want.
320291685311582210,2013-04-05 21:47:43,@_loveyamm woahhh when did food come second for yam?! Lol. I miss yu!
320291205298667521,2013-04-05 21:45:48,@SteezyManSweizy wya holmes
320290931964272640,2013-04-05 21:44:43,RT @SteezyManSweizy: This random lady said I looked warm and tried to hug me 👀
320287961402978304,2013-04-05 21:32:55,Diamond just called and hung up..... for what? Lls
320287696134217728,2013-04-05 21:31:52,I wanna be rich...
320287510674677760,2013-04-05 21:31:07,Nothing can hold me back from my success
320287370916294656,2013-04-05 21:30:34,I think ima dress up tonight. :)
309996939066363905,2013-03-08 12:00:04,This week went by fast.
309996635851726848,2013-03-08 11:58:52,Bet. It's Friday
309995585207934976,2013-03-08 11:54:41,"RT @Long_MoNeY_: Owon:""Real recognize real"". Good morning bro"
309994628063571968,2013-03-08 11:50:53,RT @LeonGonna69Her: Wtf it's snowing?
309188805561298945,2013-03-06 06:28:50,RT @_ZOriginal: This is perfect smoking weather
308147347517480960,2013-03-03 09:30:27,Goodnight ! ♥♥
306106984841760768,2013-02-25 18:22:47,This that shit I be talkin bout... Smh.
305971248750534656,2013-02-25 09:23:25,Smh why am I awakeee
305535457125625856,2013-02-24 04:31:44,I dun fucked up now..
305535323197296640,2013-02-24 04:31:12,Smh. What was I thinking?!
269826741231579136,2012-11-17 15:38:02,R.I.P Owon. we love yu. yu will be missed.
269826607332605952,2012-11-17 15:37:30,RT @DickNddCheese: This news got me sick as shit
269826529398235136,2012-11-17 15:37:12,RT @BayybeeScrapps: I just wanna hug him again .
269826501166366720,2012-11-17 15:37:05,I feel so fucking sick. i just need him to call me and tell me he is fine.
268835826941689857,2012-11-14 22:00:30,damn. ima actually miss it out here. but i cant wait to go home!
266075671028178945,2012-11-07 07:12:38,smh ima walk my ass in a dispensary and buy an 1/8 for muhfuckin $15. weed is cheap as fuck out here.
266075360012169216,2012-11-07 07:11:23,lmao when i turn 21 im moving back out to colorado so i can legally buy paq and smoke my fucking brains out. :)
263819611470979072,2012-11-01 01:47:51,Happy Halloween lil fuckers!
263819410500882433,2012-11-01 01:47:03,Get money or get away from me.
263133916213436416,2012-10-30 04:23:09,@Domz__ when i go up to boulder next week im gonna message him and try to see him! lol.
263133371021017088,2012-10-30 04:20:59,RT @_loveyamm: lol. i just realized how much of an ass hole i can bee.
263132986524971008,2012-10-30 04:19:27,@Domz__ will is out here?! is he at school?!
263132006546817024,2012-10-30 04:15:33,@_ZOriginal HAPPY BIRTHDAY BITCH! lls. I miss and love yu!
