id,created_at,text
456849071979122688,2014-04-17 17:38:01,RT @reIatabIe: people who bite ice cream with their front teeth are on a whole different level
456843184258433024,2014-04-17 17:14:37,RT @BBAnimals: A snuggly kitty in a fuzzy bed . http://t.co/KyLWb2f0qB
456817016943304704,2014-04-17 15:30:38,Beyond happy that I'm feeling better 😌
456532378026930177,2014-04-16 20:39:35,RT @osnapitzragie: i need this http://t.co/d9fImoY8rG
456238925003358208,2014-04-16 01:13:30,@KatieMalito love youu! 💕☺️
456238841863897088,2014-04-16 01:13:11,RT @KatieMalito: so so lucky to have @t_schlatter as my best friend
456201559458603009,2014-04-15 22:45:02,RT @reIatabIe: do re mi fa so done with this semester
456175510897577984,2014-04-15 21:01:31,RT @NiggasBLike: Trying to get your attention http://t.co/UbAS5OYn8w
455907165916524545,2014-04-15 03:15:13,RT @CHlLDHOODRUINER: me during finals http://t.co/zyX9nszo62
455842716182532096,2014-04-14 22:59:07,Tired is an understatement
455653121960574976,2014-04-14 10:25:44,RT @jmazzupappa: in my own bed I'm crying tears of joy
455546193192689664,2014-04-14 03:20:50,RT @Allyssa_Geer: “@FunnyVines: #DescribeYourLifeWithAVine.. https://t.co/YRjTTeAKlw” @cristiana_cario @brandoo_shonce @t_schlatter gooodni…
455346145921753088,2014-04-13 14:05:55,RT @theusfinals: #USFtopeka is about to start!! Who's ready to #endittogether as a team?! http://t.co/aYFwy4kCRk
454703171794124800,2014-04-11 19:30:58,Such a throwbackk http://t.co/5NEibod1ja
454701540117606401,2014-04-11 19:24:29,I sneezed on the beat and the beat got sickaa
454232865329676288,2014-04-10 12:22:09,"RT @NIGGAHCHUU: ""do your eyes ever randomly go out of focus &amp; then you're too lazy to focus them back in &amp; you just sit there stare at noth…"
453709226951843840,2014-04-09 01:41:23,My papa is the cutest 👴
453707087206682624,2014-04-09 01:32:53,And were back to pretending like none of that ever happened
453706703230742528,2014-04-09 01:31:22,I don't think I'm ever not tired
453704806012841984,2014-04-09 01:23:49,RT @kaitlynn_01: Its like I never even knew you...
453702509807566848,2014-04-09 01:14:42,😍 http://t.co/KJN2U3N3MY
453701414863519744,2014-04-09 01:10:21,@d_maynard19 haha I'm guessing this is me 🙋🙈😂😏
453610213367492608,2014-04-08 19:07:57,Driving with the instructor today 😶
453604425060610048,2014-04-08 18:44:57,@Luv_Raviiebabii I know I always get so nervous cause I think I left it on but today I was in a hurry and I didn't even think of it oops 🙈
453603501156073473,2014-04-08 18:41:16,I came home from school and my straightener was still on 😳
453578705332625408,2014-04-08 17:02:45,@Luv_Raviiebabii I miss you in health right now 😢
453377684962148354,2014-04-08 03:43:58,Role play
453363774569725952,2014-04-08 02:48:41,I love falling asleep while it's raining
453362782474231808,2014-04-08 02:44:45,@Luv_Raviiebabii ehh true I guess this kinda looks like her hahaha
453362581525106688,2014-04-08 02:43:57,So happy my driving classes are over! 🙌
453362413757157376,2014-04-08 02:43:17,@Luv_Raviiebabii @PromPics haha raven my sister has blonde hair? That looks nothing like her 🙈😂
453356120325623808,2014-04-08 02:18:16,I paint my nails at least four different times a week..
453314678966718464,2014-04-07 23:33:36,RT @FactsOfSchool: when a teacher tells you to be quiet halfway through your sentence 😅😅 http://t.co/lxzOM8Elkc
453002082090749952,2014-04-07 02:51:27,@livberrrry thanks liv ☺️💕
