id,created_at,text
406237222799962112,2013-11-29 01:44:36,🐣 http://t.co/3zuzEV2Wee
397486861045616641,2013-11-04 22:13:47,Harry Potter en TNT☝
392848516067778561,2013-10-23 03:02:39,MARTES DE THE WALKING DEAD &amp; AHS👌🙏
389222050784894976,2013-10-13 02:52:22,Pongase a hacer la tarea https://t.co/6rPSA3O9do
285274902083284992,2012-12-30 06:43:31,@justinbieber mejor vente a mazatlaaaaan
285274473186357248,2012-12-30 06:41:49,por que no se viene a mazatlan?!?
285273876869562368,2012-12-30 06:39:27,"RT @JBOficialMex: NOTICIAS DE ULTIMO MOMENTO: JUSTIN ESTA RESPIRANDO AIRE DE MÉXICO, RÉPITO, ESTA RESPIRANDO AIRE DE M-É-X-I-C-O"
285273260277506048,2012-12-30 06:37:00,pinche ipod esta bien lento
285273259547693056,2012-12-30 06:36:59,alguien seria tan amable de llevarme a vallarte ahorititita?
285273159257686018,2012-12-30 06:36:35,alguien vallase conmigo a vallartaaaaa
284971596358225920,2012-12-29 10:38:17,mi papi bien actualizado el me compro el iphone 3 (-8
284816257709129728,2012-12-29 00:21:02,@angie1arredondo OMB te extrañare :'( si voy a guadalajara acomprar ropa por que creo qie ire te voy a hablar ;)
284815516269416448,2012-12-29 00:18:05,"RT @angie1arredondo: @victoriaaldapa  Sisisisis!
Jdkalabaval"
284815482689826818,2012-12-29 00:17:57,RT @_kristaabell: @victoriaaldapa ola k hac? Yalas subio o k hac☑
284581055036542976,2012-12-28 08:46:25,me dieron ganas de ver rocket powers :l
284580780238307328,2012-12-28 08:45:19,RT @scooterbraun: @justinbieber great job #BELIEVEacoustic
284580515670016000,2012-12-28 08:44:16,"RT @MemeUniversal: Las niñas piden Barbies y los niños coches, cuando crecen las mujeres quieren coches y los hombres barbies. Bien raro no?"
284580366197592064,2012-12-28 08:43:41,@angie1arredondo ANGELICA SARAI!!!!! TE REGRESASTE A GUADALAJARA?!?!?!!?
284576294505705473,2012-12-28 08:27:30,"no me gusta justin bieber, es gay, no me gusta ascoooo no se como me pudo gustar"
284575320521203712,2012-12-28 08:23:38,me salen puros tuits de que hackearon a alex syntek :s
284573864816680960,2012-12-28 08:17:51,mi tia va a ver a Calvin Harris y yo no. okasa
284573550885613569,2012-12-28 08:16:36,#SoImAPendeja http://t.co/5vRrEFsP
284573106247454721,2012-12-28 08:14:50,"RT @NickiMinajFMe: Se ven mas pendejas publicando que están embarazadas, a lo que se creen verse chistositas."
